State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
CO,Denver,College of Arts and Sciences,College of Natural Science,Scholarship,Professional Writing,204
CA,San Francisco,College of Business,College of Education,Scholarship,Human Resource Management,6819
IL,Springfield,College of Agriculture and Natural Resources,College of Education,Scholarship,Food Industry Management,6838
NV,Reno,College of Social Science,College of Engineering,Scholarship,Geography,5063
GA,Atlanta,College of Social Science,College of Social Science,Scholarship,Geographic Information Science,2797
TX,Dallas,College of Social Science,College of Natural Science,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,5439
NC,Raleigh,College of Natural Science,College of Social Science,Scholarship,Preoptometry,7178
CA,Los Angeles,College of Natural Science,College of Natural Science,Scholarship,Physical Science Interdepartmental,1220
AL,Huntsville,College of Natural Science,College of Business,Scholarship,Biochemistry and Molecular Biology,2533
AZ,Mesa,College of Social Science,College of Business,Scholarship,Urban and Regional Planning,6165
FL,Orlando,College of Social Science,Faculty Chair Endowments,Endowment,Sociology,6690
NY,New York,College of Music,College of Arts and Sciences,Scholarship,Composition,5046
IN,Indianapolis,College of Natural Science,College of Nursing,Scholarship,Zoology,9306
IN,Indianapolis,College of Natural Science,Minority Scholarship Fund,Scholarship,Zoology,9306
MO,Kansas City,College of Natural Science,Faculty Chair Endowments,Endowment,Microbiology,1503
MO,Kansas City,College of Natural Science,Alumni Association,Campus Resource,Microbiology,1503
CT,New Haven,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Apparel and Textile Design,2502
CT,New Haven,College of Arts and Sciences,Campus Recreation,Campus Resource,Apparel and Textile Design,2502
MO,St. Louis,College of Communication Arts and Sciences,Campus Museums,Campus Resource,Media and Information,149
MO,St. Louis,College of Communication Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Media and Information,149
WA,Spokane,College of Social Science,University Annual Fund,Endowment,Social Work,8119
WA,Spokane,College of Social Science,College of Arts and Sciences,Scholarship,Social Work,8119
FL,Tallahassee,College of Political Science,Honors Program,Campus Resource,College of Political Science,8819
FL,Tallahassee,College of Political Science,Faculty Chair Endowments,Endowment,College of Political Science,8819
CO,Denver,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Humanities-Prelaw,5980.5
CO,Denver,College of Arts and Sciences,Campus Recreation,Campus Resource,Humanities-Prelaw,5980.5
CA,Los Angeles,College of Agriculture and Natural Resources,College of Business,Scholarship,Food Industry Management,7699
CA,Los Angeles,College of Agriculture and Natural Resources,University Libraries,Campus Resource,Food Industry Management,7699
CA,San Francisco,College of Social Science,Honors Program,Campus Resource,Political Science,7558
CA,San Francisco,College of Social Science,University Libraries,Campus Resource,Political Science,7558
UT,Provo,College of Natural Science,Faculty Chair Endowments,Endowment,Genomics & Molecular Genetics,8998
UT,Provo,College of Natural Science,College of Arts and Sciences,Scholarship,Genomics & Molecular Genetics,8998
NE,Lincoln,College of Natural Science,Faculty Chair Endowments,Endowment,Predental,7123
NE,Lincoln,College of Natural Science,College of Arts and Sciences,Scholarship,Predental,7123
CA,Los Angeles,College of Business,College of Arts and Sciences,Scholarship,Human Resource Management,4869
CA,Los Angeles,College of Business,Campus Museums,Campus Resource,Human Resource Management,4869
SC,Columbia,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,1479
SC,Columbia,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,1479
CA,San Francisco,College of Natural Science,College of Arts and Sciences,Scholarship,Microbiology,2779
CA,San Francisco,College of Natural Science,In-State Scholarship Fund,Scholarship,Microbiology,2779
TX,Houston,College of Arts and Sciences,University Libraries,Campus Resource,Experience Architecture,6644
TX,Houston,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Experience Architecture,6644
TX,Austin,College of Arts and Sciences,Honors Program,Campus Resource,Studio Art,8302
TX,Austin,College of Arts and Sciences,University Annual Fund,Endowment,Studio Art,8302
LA,New Orleans,College of Social Science,Diversity Fund,Endowment,Human Development and Family Studies,9220
LA,New Orleans,College of Social Science,Diversity Fund,Endowment,Human Development and Family Studies,9220
IL,Chicago,College of Nursing,College of Natural Science,Scholarship,Prenursing,1648
IL,Chicago,College of Nursing,College of Social Science,Scholarship,Prenursing,1648
CA,San Francisco,College of Nursing,University Annual Fund,Endowment,Prenursing,7094
CA,San Francisco,College of Nursing,Campus Recreation,Campus Resource,Prenursing,7094
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,World Politics,13498.5
CO,Denver,College of Social Science,University Annual Fund,Endowment,World Politics,13498.5
KY,Louisville,College of Communication Arts and Sciences,College of Arts and Sciences,Scholarship,Media and Information,8976
KY,Louisville,College of Communication Arts and Sciences,College of Natural Science,Scholarship,Media and Information,8976
CA,Sacramento,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Environmental Studies and Agriscience,5051
CA,Sacramento,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Environmental Studies and Agriscience,5051
CA,Los Angeles,College of Business,University Annual Fund,Endowment,Human Resource Management,9981
CA,Los Angeles,College of Business,Diversity Fund,Endowment,Human Resource Management,9981
GA,Atlanta,College of Natural Science,College of Natural Science,Scholarship,Biomedical Laboratory Science,2818
GA,Atlanta,College of Natural Science,Diversity Fund,Endowment,Biomedical Laboratory Science,2818
OR,Portland,College of Communication Arts and Sciences,Honors Program,Campus Resource,Media and Information,4269
OR,Portland,College of Communication Arts and Sciences,College of Business,Scholarship,Media and Information,4269
CO,Colorado Springs,College of Political Science,College of Business,Scholarship,Political Theory and Constitutional Democracy,8942
CO,Colorado Springs,College of Political Science,Trustees Fund,Endowment,Political Theory and Constitutional Democracy,8942
UT,Provo,College of Social Science,College of Natural Science,Scholarship,Geography,1132
UT,Provo,College of Social Science,College of Natural Science,Scholarship,Geography,1132
TX,San Antonio,College of Education,College of Social Science,Scholarship,Athletic Training,2070
TX,San Antonio,College of Education,Faculty Chair Endowments,Endowment,Athletic Training,2070
KS,Overland Park,College of Natural Science,Campus Museums,Campus Resource,Mathematics,4571
KS,Overland Park,College of Natural Science,Trustees Fund,Endowment,Mathematics,4571
VA,Alexandria,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Environmental Economics and Policy,2449
VA,Alexandria,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Environmental Economics and Policy,2449
NV,North Las Vegas,College of Natural Science,University Annual Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,307
NV,North Las Vegas,College of Natural Science,Campus Recreation,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,307
OH,Cincinnati,College of Natural Science,College of Arts and Sciences,Scholarship,Neuroscience,8384
OH,Cincinnati,College of Natural Science,University Annual Fund,Endowment,Neuroscience,8384
NC,Charlotte,College of Social Science,Alumni Association,Campus Resource,World Politics,8315
NC,Charlotte,College of Social Science,College of Engineering,Scholarship,World Politics,8315
CA,San Francisco,College of Arts and Sciences,University Annual Fund,Endowment,Philosophy,9566
CA,San Francisco,College of Arts and Sciences,University Annual Fund,Endowment,Philosophy,9566
MI,Lansing,College of Arts and Sciences,Honors Program,Campus Resource,Women's and Gender Studies,3915
MI,Lansing,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Women's and Gender Studies,3915
TX,Dallas,College of Arts and Sciences,Faculty Chair Endowments,Endowment,German,5114
TX,Dallas,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,German,5114
DC,Washington,College of Social Science,Trustees Fund,Endowment,Urban and Regional Planning,9533
DC,Washington,College of Social Science,University Annual Fund,Endowment,Urban and Regional Planning,9533
SC,Columbia,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Interdisciplinary Humanities,1433
SC,Columbia,College of Arts and Sciences,Diversity Fund,Endowment,Interdisciplinary Humanities,1433
CA,San Francisco,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Animal Science,1490
CA,San Francisco,College of Agriculture and Natural Resources,Honors Program,Campus Resource,Animal Science,1490
FL,Orlando,College of Natural Science,College of Social Science,Scholarship,Neuroscience,9202
FL,Orlando,College of Natural Science,Trustees Fund,Endowment,Neuroscience,9202
CA,Los Angeles,College of Natural Science,College of Social Science,Scholarship,Mathematics,8395
CA,Los Angeles,College of Natural Science,College of Social Science,Scholarship,Mathematics,8395
WA,Seattle,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textile Design,1743
WA,Seattle,College of Arts and Sciences,College of Music,Scholarship,Apparel and Textile Design,1743
IL,Naperville,College of Natural Science,University Annual Fund,Endowment,Predental,7275
IL,Naperville,College of Natural Science,Campus Museums,Campus Resource,Predental,7275
NY,New York,College of Natural Science,Faculty Chair Endowments,Endowment,Zoology,7343
NY,New York,College of Natural Science,University Libraries,Campus Resource,Zoology,7343
AZ,Mesa,College of Music,Honors Program,Campus Resource,Music,833
AZ,Mesa,College of Music,Athletics,Campus Resource,Music,833
PA,Philadelphia,College of Engineering,College of Arts and Sciences,Scholarship,Computer Science,3361
PA,Philadelphia,College of Engineering,Trustees Fund,Endowment,Computer Science,3361
CO,Denver,College of Agriculture and Natural Resources,College of Veterinary Medicine,Scholarship,Animal Science,14893.5
CO,Denver,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Animal Science,14893.5
MI,Detroit,College of Agriculture and Natural Resources,In-State Scholarship Fund,Scholarship,Agriculture and Natural Resources-No Preference,9813
MI,Detroit,College of Agriculture and Natural Resources,College of Veterinary Medicine,Scholarship,Agriculture and Natural Resources-No Preference,9813
MI,Detroit,College of Natural Science,College of Veterinary Medicine,Scholarship,Environmental Biology/Plant Biol,3301
WA,Seattle,College of Arts and Sciences,College of Veterinary Medicine,Scholarship,Experience Architecture,8101
TX,Houston,College of Business,Faculty Chair Endowments,Endowment,Finance,5940
KY,Lexington,College of Social Science,Honors Program,Campus Resource,Psychology,7150
WA,Spokane,College of Arts and Sciences,Campus Recreation,Campus Resource,Philosophy,5547
NY,New York,College of Engineering,University Libraries,Campus Resource,Electrical Engineering,4001
